亜	⠠⠁⠃	⠃⠊
斗	⠠⠾⠃	⠱⡼
渡	⠠⠾⠄	⡇⡬
登	⠨⠎⠎	⢳⡼
賭		⡡⣌
途	⠠⠾⠉	⣇⣼
都	⠠⠾⠷	⢣
努	⠢⠠⠝	⡓⡬
度	⠢⠠⠕	⡱⡬
土	⠢⠠⠗	⡳
奴	⠢⠠⠊	⣓⡬
怒	⠢⠠⠃	⣓⢬
倒	⠨⠎⠕	⡃⣘
党	⠲⠏⠁	⣁⠬
冬	⠨⠎⠭	⢳⠊
凍	⠲⠏⠪	⢱⣎
刀	⠨⠎⠡	⠑⡚
唐	⠠⠏⠡	⡱⣼
塔	⠨⠎⠗	⡳⢚
島	⠨⠎⠳	⢷⡘
悼	⠲⠏⠃	⠳⡼
投	⠨⠎⠅	⡷⡜
搭	⠨⠎⠋	⡷⡵⠬
東	⠨⠎⠧	⠱⣎
桃	⠨⠎⠾	⢥⠬
棟	⠨⠎⠽	⢇⠰⣎
盗	⠨⠎⠍	⣡⢌
湯	⠨⠎⠬	⡇⢨
灯	⠲⠏⠧	⣱⡾
当	⠨⠎⠁	⣁⣚
痘	⠨⠎⠔	⡑⡼
等	⠠⠏⠧	⡧⢮
答	⠨⠎⠪	⡧⣬
筒	⠨⠎⠝	⡧⡼
糖	⠠⠏⠪	⡕⣼
統	⠨⠎⠃	⠇⣈
到	⠨⠎⠓	⣑⡚
藤		⢥⣚
討	⠨⠎⠉	⠗⢮
謄	⠠⠏⠅	⠣⠞
豆	⠨⠎⠵	⠡⡼
踏	⠠⠏⠭	⣧⡎
逃	⠨⠎⠇	⣇⠬
透	⠨⠎⠹	⣇⡌
陶	⠠⠏⠍	⢣⡼
頭	⠠⠏⠁	⠕⡼
騰	⠠⠏⠉	⠣⢼
闘	⠠⠏⠕	⣵⢮
働	⠨⠠⠥	⡃⠮
動	⠨⠠⠉	⠧⡚
同	⠨⠠⠊	⣥⡼
堂	⠨⠠⠝	⣁⡺
導	⠨⠠⠗	⣇⢮
憧		⠳⠮
洞	⠨⠠⠮	⡇⣤⡼
瞳		⣷⣪
童	⠨⠠⠄	⣣⠮
胴	⠨⠠⠙	⢅⡼
道	⠨⠠⠷	⣇⠘
銅	⠨⠠⠡	⢃⡼
峠	⠨⠦⠎	⡑⠚
匿	⠲⠎⠥	⣵⢨
得	⠲⠎⠋	⣑⣌
徳	⠲⠎⠎	⣑⠼
特	⠲⠎⠁	⢵⢮
督	⠲⠎⠅	⠓⣾
篤	⠲⠎⠕	⡧⢼
毒	⠲⠠⠅	⣗⣊
独	⠲⠠⠧	⢗⣺
読	⠲⠠⠜	⠗⡺
栃		⢥⢡⣪
凸	⠢⠎⠁	⠱⠾
突	⠢⠎⠝	⠓⢞
届	⠨⠡⠏	⡵⡪
屯	⠸⠎⠁	⠱⣚
豚	⠸⠎⠕	⢵⡈
頓		⠕⣚
曇	⠸⠠⠩	⣳⡮
鈍	⠸⠠⠇	⢃⣚
奈		⢗⢘
那		⡃⠤⢪
内	⠨⠅⠉	⣥⢘
謎		⠗⣇⡜
鍋		⢃⠤⢊
縄	⠨⠦⠅	⠇⣾
南	⠸⠅⠷	⠱⣮
軟	⠸⠅⠔	⣳⣨
難	⠸⠅⠡	⢓⠎
二	⠐⠼⠃	⢡⠎
尼	⠠⠇⠁	⡵⢘
弐	⠠⠇⠄	⣥⠎
匂		⣵⡎
肉	⠲⠇⠙	⢅
虹		⢕⠚
日	⠢⠇⠧	⣳
乳	⠠⠍⠗	⡧⡨
入	⠠⠍⠃	⠱⡊
如	⠠⠴⠚	⣓⠾
尿	⠨⠇⠏	⡵⡎
任	⠸⠇⠵	⢑⡎
妊	⠸⠇⠊	⣓⡎
忍	⠸⠇⠳	⡓⢬
認	⠸⠇⠷	⡥⡚
寧	⠨⠏⠉	⠥⡾
猫	⠨⠼⠏	⢗⢈
熱	⠢⠏⠁	⣱⠊
年	⠸⠏⠎	⣳⢊
念	⠸⠏⠪	⠧⢬
捻		⡷⠺
燃	⠸⠏⠾	⣱⢞
粘	⠸⠏⠏	⡕⣬
悩	⠨⠎⠅	⠳⡮
濃	⠨⠎⠪	⡇⠼
納	⠨⠎⠊	⡅⢘
能	⠨⠎⠇	⠣⡜
脳	⠨⠎⠙	⢅⡮
農	⠨⠎⠄	⡣⠼
把	⠠⠅⠋	⡷⠤⣎
覇	⠠⠅⠙	⡵⠪
波	⠠⠅⠅	⡇⣎
派	⠠⠅⠱	⢱⣮
破	⠠⠅⠔	⣣⣎
婆	⠰⠨⠊	⣓⣎
罵		⢵⢺
馬	⠰⠨⠉	⢵
俳	⠲⠅⠇	⡃⣸
廃	⠲⠅⠹	⡱⢺
拝	⠲⠅⠊	⣃⠎
排	⠲⠅⠋	⡷⣸
敗	⠲⠅⠔	⡡⢸
杯	⠲⠅⠱	⢇⣚
背	⠲⠅⠻	⢅⢎
肺	⠲⠅⠙	⢅⢮
輩	⠲⠅⠬	⣱⣺
配	⠲⠅⠩	⢷⢎
倍	⠨⠨⠇	⢑⣪
培	⠨⠨⠝	⡳⣪
媒	⠨⠨⠊	⣓⠺
梅	⠨⠨⠿	⢥⣊
買	⠨⠨⠡	⢳⡨
売	⠨⠨⠉	⡳⡨
賠	⠨⠨⠕	⡡⣪
陪	⠨⠨⠍	⢣⣪
伯	⠲⠥⠇	⢑⣌
剥		⣧⡚
博	⠲⠥⠚	⠵⡾
拍	⠲⠥⠋	⣳⡾
泊	⠲⠥⠎	⢱⣌
白	⠲⠥⠳	⣳⠊
舶	⠲⠥⠭	⣓⣌
薄	⠲⠥⠉	⢓⡾
迫	⠲⠥⠻	⣇⣌
漠	⠲⠨⠱	⡇⠤⢚
爆	⠲⠨⠧	⣱⢜
縛	⠲⠨⠳	⠇⡾
麦	⠲⠨⠽	⣗⢺
箱	⠨⠉⠪	⡧⣾
箸		⡵⡮
肌	⠲⠣⠙	⢅⣈
畑	⠸⠐⠥	⣱⡪
八	⠐⠼⠓	⢡⠮
鉢	⠢⠥⠗	⢃⢈
発	⠢⠥⠁	⢳
髪	⠢⠥⠡	⡵⠚
伐	⠢⠨⠇	⠃⣬
罰	⠢⠨⠜	⢳⡞
抜	⠢⠨⠍	⡷⡬
閥	⠢⠨⠡	⣵⣬
伴	⠸⠥⠎	⢑⣊
判	⠸⠥⠓	⣃⡞
半	⠸⠥⠅	⠵⣊
反	⠸⠥⠺	⣃⣨
帆	⠸⠥⠮	⢧⣈
搬	⠸⠥⠋	⣓⡾
斑		⣗⣈
板	⠸⠥⠃	⢇⣨
氾		⡇⠤⢪
汎		⡇⠐⣈
版	⠸⠥⠡	⣗⣨
犯	⠸⠥⠊	⢗⣊
班	⠸⠔⠊	⣗⡚
畔	⠸⠔⠕	⡓⣊
繁	⠸⠔⠃	⣃⡌
般	⠸⠥⠭	⣓⡜
藩	⠸⠥⠩	⢓⢸
販	⠸⠥⠛	⡡⣨
範	⠸⠥⠕	⡧⣺
煩	⠸⠔⠑	⣱⠜
頒	⠸⠥⠑	⠕⠮
飯	⠸⠥⠿	⢷⣨
晩	⠸⠨⠧	⣳⠬
番	⠸⠨⠕	⡕⡪
盤	⠸⠨⠑	⡕⢌
蛮	⠸⠨⠽	⠗⣺
卑	⠲⠧⠔	⡣⢪
否	⠲⠧⠃	⣓⣬
妃	⠲⠧⠊	⣗⢎
彼	⠲⠧⠡	⣑⣎
悲	⠲⠧⠅	⣱⢬
扉	⠲⠧⠑	⡵⠐⣸
批	⠲⠧⠋	⡷⠸
披	⠲⠧⠟	⡷⠐⣎
比	⠲⠧⠩	⠱
泌	⠢⠧⠱	⢱⢬
疲	⠲⠧⠝	⡑⣎
皮	⠲⠧⠄	⠑⣎
碑	⠲⠧⠳	⣣⡪
秘	⠲⠧⠧	⡕⠨
罷	⠲⠧⠜	⢳⠪
肥	⠲⠧⠪	⢅⣎
被	⠲⠧⠽	⡗⣎
費	⠲⠧⠛	⣷⡨
避	⠲⠧⠱	⣇⣪
非	⠲⠧⠁	⠑⣸
飛	⠲⠧⠎	⠵⣎
備	⠲⠼⠺	⡃⣎
尾	⠲⠼⠊	⡵⢾
微	⠲⠼⠎	⣑⢸
眉		⣷⢾
美	⠲⠼⠉	⢵⢞
鼻	⠲⠼⠥	⣷⡪
匹	⠢⠧⠣	⣵⣈
膝		⢅⢸
肘		⢅⠸
必	⠢⠧⠡	⢥⠨
筆	⠢⠧⠭	⡧⣚
姫	⠰⠣⠧	⣓⢺
媛	⠸⠋⠊	⣓⢘
百	⠠⠼⠁	⢡⣾
俵	⠨⠧⠕	⢑⡞
標	⠨⠧⠣	⢇⡎
氷	⠨⠧⠪	⢱
漂	⠨⠧⠜	⡇⡎
票	⠨⠧⠳	⡇⡞
表	⠨⠧⠁	⣗⡞
評	⠨⠧⠅	⠗⠮
描	⠨⠼⠋	⡷⢚
病	⠨⠼⠔	⡑
秒	⠨⠼⠎	⣳⢼
苗	⠨⠼⠅	⡣⢚
品	⠸⠧⠳	⠷⠚
浜	⠸⠧⠥	⡇⠮
貧	⠸⠧⠵	⠧⡨
賓	⠸⠧⠛	⠓⡨
頻	⠸⠧⠑	⣡⠜
敏	⠸⠼⠎	⣁⢸
瓶	⠸⠼⠭	⡵⢊
不	⠨⠽⠁	⠑⣚
付	⠨⠽⠝	⡃⢮
夫	⠨⠽⠊	⡁⢞
婦	⠨⠽⠅	⣓⠮
富	⠨⠽⠎	⠥⣚
布	⠨⠽⠍	⠵⢮
府	⠨⠽⠏	⡱⢮
怖	⠨⠽⠪	⠳⢮
扶	⠨⠽⠋	⡷⢞
敷	⠨⠽⠳	⣳⢸
普	⠨⠽⠧	⣣⣚
浮	⠨⠽⠉	⢱⠚
父	⠨⠽⠗	⢡⡮
符	⠨⠽⠕	⡧⡊
腐	⠨⠽⠩	⡱⢌
膚	⠨⠽⠙	⢳⡪
譜	⠢⠽⠅	⠗⣚
負	⠢⠽⠊	⡓⠜
賦	⠨⠽⠛	⠕⣨
赴	⠨⠽⠽	⣃⡼
阜		⢣⣚
附	⠢⠽⠍	⢣⢮
侮	⠰⠘⠁	⡃⣊
武	⠰⠘⠄	⣥⣨
舞	⠰⠘⠵	⣳⣜
部	⠰⠘⠍	⣣⢪
封	⠲⠍⠄	⡳⡺
風	⠲⠍⠡	⣳⠬
伏	⠲⠭⠭	⡃⢞
副	⠲⠭⠓	⣓⡚
復	⠲⠭⠎	⣑⢺
幅	⠲⠭⠥	⢧⣚
服	⠲⠭⠙	⠣⡌
福	⠲⠭⠳	⡗⣚
腹	⠲⠭⠑	⢅⢺
複	⠲⠭⠺	⡗⢺
覆	⠲⠭⠊	⢱⢺
払	⠢⠭⠥	⡷⣾
沸	⠢⠭⠄	⢱⣾
仏	⠢⠘⠮	⢑⣾
物	⠢⠘⠾	⢵⢨
分	⠸⠘⠄	⠧
噴	⠸⠽⠭	⠷⣚
墳	⠸⠽⠗	⡳⣚
憤	⠸⠽⠃	⠳⣚
奮	⠸⠽⠙	⢗⡪
粉	⠸⠽⠪	⠧⡜
紛	⠸⠽⠵	⠇⠮
雰	⠸⠽⠁	⡧⠮
文	⠸⠘⠭	⣁⡈
聞	⠸⠘⠣	⣵⣮
丙	⠰⠯⠁	⢡⣞
併	⠨⠯⠁	⡃⡼
兵	⠨⠯⠥	⢓⠮
塀	⠨⠯⠗	⡳⠤⣞
幣	⠰⠯⠥	⢱⢮
平	⠨⠯⠑	⠧⢊
弊	⠨⠯⠳	⢱⡼
柄	⠨⠯⠣	⢇⠞
並	⠨⠯⠅	⣣⣪
蔽		⢓⠤⢸
閉	⠨⠯⠎	⣵⠼
陛	⠨⠯⠍	⢣⡺
米	⠨⠸⠪	⡕⠊
壁	⠲⠯⠡	⣣⡺
癖	⠲⠯⠩	⡑⣪
別	⠢⠸⠄	⠷⡞
蔑		⢳⣎
偏	⠸⠯⠇	⢑⣞
変	⠸⠯⠡	⠗⢺
片	⠸⠯⠕	⣗⠨
編	⠸⠯⠁	⠇⣞
辺	⠸⠯⠥	⣇⡚
返	⠸⠯⠋	⣇⣨
遍	⠸⠯⠉	⣇⣞
便	⠸⠸⠧	⢑⡊
勉	⠸⠸⠗	⡓⡚
弁	⠸⠸⠳	⣳⡼
保	⠰⠮⠕	⡃⠾
舗	⠰⠮⠚	⠧⣜
捕	⠰⠮⠎	⡷⣜
歩	⠰⠮⠁	⣡⢼
補	⠰⠮⠊	⡗⣜
穂	⠰⠹⠮	⡕⣺
募	⠰⠰⠝	⢓⡚
墓	⠰⠰⠡	⢓⡺
慕	⠰⠰⠳	⢓⠺
暮	⠰⠰⠩	⢓⣌
母	⠰⠰⠥	⠱⣊
簿	⠰⠰⠕	⡧⡾
倣	⠲⠎⠅	⢑⣜
俸	⠲⠎⠇	⡃⢗⣜
包	⠲⠎⠝	⣵⠌
報	⠲⠎⠗	⡳⡌
奉	⠢⠮⠕	⢗⣜
宝	⠲⠎⠕	⠓⣞
峰	⠲⠎⠷	⡑⣜
崩	⠲⠎⠩	⡑⠪
抱	⠲⠎⠃	⡷⣼
放	⠲⠎⠥	⣕⢸
方	⠲⠎⠡	⣕
法	⠲⠎⠱	⡇⢜
泡	⠢⠮⠁	⡇⡈
砲	⠢⠮⠃	⣣⣼
縫	⠲⠎⠍	⡅⣜
胞	⠲⠎⠙	⠣⣼
芳	⠢⠮⠡	⢓⣜
蜂		⣕⣺
褒	⠲⠎⠮	⠥⡊
訪	⠲⠎⠊	⠗⣜
豊	⠲⠎⠬	⡣⡼
邦	⠢⠮⠍	⣗⢪
飽	⠲⠎⠁	⢷⣼
乏	⠨⠰⠎	⠅⡜
亡	⠨⠰⠅	⠡⣜
傍	⠨⠰⠡	⡃⣜
剖	⠨⠰⠓	⣣⡚
坊	⠨⠰⠗	⡳⣜
妨	⠨⠰⠱	⣓⣜
帽	⠨⠘⠥	⢧⣾
忘	⠨⠰⠄	⣕⢬
忙	⠨⠰⠃	⠳⣜
房	⠨⠘⠭	⡵⣜
暴	⠨⠰⠁	⣳⢜
望	⠨⠰⠎	⣕⠪
某	⠨⠘⠣	⠳⢎
棒	⠨⠰⠣	⢇⣜
冒	⠨⠰⠊	⣳⣾
紡	⠨⠰⠝	⠇⣜
肪	⠨⠰⠙	⢅⣜
膨	⠨⠰⠩	⠣⠚
謀	⠨⠰⠥	⡥⠺
貌		⢵⣌
貿	⠨⠰⠛	⠣⡨
防	⠨⠰⠭	⢣⣜
頬		⠕⡊
北	⠲⠮⠣	⠱⢎
僕	⠲⠰⠇	⡃⡊
墨	⠲⠰⠹	⢧⡺
撲	⠲⠰⠋	⡷⡊
朴	⠲⠰⠣	⢇⠤⡼
牧	⠲⠰⠵	⢵⢸
睦		⣷⣺
勃		⡓⠼
没	⠢⠰⠱	⡇⡜
堀	⠢⠩⠗	⡳⡼
奔	⠸⠮⠑	⢗⡼
本	⠸⠮⠾	⢇⢈
翻	⠸⠮⠧	⡣⣺
凡	⠸⠰⠄	⠑⣈
盆	⠸⠰⠑	⡓⢌
摩	⠠⠵⠋	⡱⡾
磨	⠠⠵⠷	⡱⣪
魔	⠠⠵⠊	⡱⡎
麻	⠠⠵⠁	⢥⣪
埋	⠨⠵⠉	⡳⠮
妹	⠨⠵⠃	⣓⠨
昧		⣳⢆⠘
枚	⠨⠵⠣	⢇⢸
毎	⠨⠵⠅	⣁⣊
幕	⠲⠵⠥	⢓⢮
膜	⠲⠵⠙	⢅⢚
枕		⢇⣮
又	⠨⠬⠵	⠑⡬
抹	⠢⠵⠋	⡷⢆⠨
末	⠢⠵⠹	⢇⠨
繭	⠸⠫⠵	⠇⣺
万	⠸⠵⠁	⢡⣪
慢	⠸⠵⠓	⠳⣪
満	⠸⠵⠷	⡇⣾
漫	⠸⠵⠱	⢱⣪
味	⠰⠷⠁	⠷⠘
未	⠰⠷⠣	⢇⠘
魅	⠰⠷⠊	⠕⢎
岬	⠸⠎⠷	⡑⢜
密	⠢⠷⠉	⠓⡘
蜜		⠓⣺
脈	⠠⠷⠙	⢅⣮
妙	⠨⠷⠊	⣓⢼
民	⠸⠷⠕	⣧⣨
眠	⠸⠷⠏	⣷⣨
務	⠠⠽⠝	⡱⡚
夢	⠠⠽⠬	⣁⣜
無	⠠⠽⠅	⣳⣸
矛	⠠⠽⠮	⠃⡸
霧	⠠⠽⠣	⡧⡸
婿	⠨⠻⠽	⣓⡸
娘	⠨⠦⠽	⣓⡘
冥		⣁⣌
名	⠨⠿⠅	⣕⠾
命	⠨⠿⠃	⠧⢪
明	⠨⠿⠁	⣳⠪
盟	⠨⠿⠑	⣳⢌
迷	⠨⠿⠵	⣇⡜
銘	⠨⠿⠡	⢃⠾
鳴	⠰⠿⠅	⣥⢾
滅	⠢⠿⠮	⣇⣸
免	⠸⠿⠵	⡓⠬
綿	⠸⠿⠄	⡅⣾
面	⠸⠿⠊	⣷⠘
麺		⢳⣷⠘
模	⠰⠾⠣	⢇⢚
茂	⠰⠾⠳	⢓⣎
妄	⠨⠾⠊	⣕⣚
毛	⠨⠾⠫	⠑⢾
猛	⠨⠾⠎	⢗⢌
盲	⠨⠾⠅	⣷⣜
網	⠨⠾⠁	⡅⣘
耗	⠨⠾⠹	⢇⢾
木	⠲⠾⠣	⢇
黙	⠲⠾⠵	⢧⢞
目	⠲⠾⠿	⣷
餅		⢷⡼
戻	⠨⠛⠾	⡵⢞
問	⠸⠾⠎	⣵⠾
紋	⠸⠾⠃	⡅⣈
門	⠸⠾⠡	⣵
冶		⢱⢘
夜	⠰⠔⠜	⣁⡊
野	⠰⠔⠎	⠧⡸
弥		⣑⠤⣈
矢	⠰⠳⠔	⡑⠌
厄	⠲⠔⠏	⡱⢪
役	⠲⠔⠎	⣑⡜
約	⠲⠔⠃	⠇⣼
薬	⠲⠔⠩	⢓⡌
訳	⠲⠔⠄	⡥⡪
躍	⠲⠔⠊	⣧⡘
柳	⠠⠙⠔	⢥⢪
愉	⠰⠬⠓	⠳⣘
油	⠰⠬⠁	⡣⢸
癒	⠰⠬⠔	⡑⣘
諭	⠰⠬⠱	⠗⣘
輸	⠰⠬⠬	⣳⣘
唯	⠲⠿⠚	⠷⠎
優	⠨⠬⠇	⠱⣘
勇	⠨⠬⠃	⡓⡪
友	⠨⠬⠎	⠵⡬
幽	⠨⠬⠑	⡅⡌
悠	⠨⠬⠪	⢑⣘
憂	⠨⠬⠉	⠃⣘
有	⠨⠬⠁	⠵⠪
湧		⡇⡓⡪
猶	⠨⠬⠫	⢗⢾
由	⠨⠬⠕	⡣⠘
裕	⠨⠬⠺	⡗⡪
誘	⠨⠬⠱	⠗⡌
遊	⠲⠬⠁	⣃⡈
郵	⠨⠬⠍	⢣⡎
雄	⠨⠬⠊	⠵⠎
融	⠨⠬⠽	⠷⣺
夕	⠲⠻⠬	⣕⠊
予	⠰⠜⠅	⠑⡸
余	⠰⠜⠵	⠧⣼
与	⠰⠜⠕	⠥⠘
誉	⠰⠜⠮	⣁⠞
預	⠰⠜⠁	⠕⡸
幼	⠨⠜⠊	⡅⠊
妖		⣓⠤⢞
容	⠨⠜⠉	⠓⡪
庸	⠨⠜⠏	⡱⣬
揚	⠨⠜⠁	⡷⢨
揺	⠨⠜⠬	⡷⢊
擁	⠨⠜⠋	⡷⣎
曜	⠨⠜⠧	⣳⡘
様	⠨⠜⠱	⢇⢼
洋	⠠⠜⠱	⢵⡎
溶	⠨⠜⠎	⡇⡪
用	⠨⠜⠾	⣥⡈
窯	⠨⠜⠡	⠓⣸
羊	⠠⠜⠧	⢵⠌
葉	⠨⠜⠥	⢓⡸
要	⠨⠜⠃	⡇⣚
謡	⠠⠜⠉	⠗⢊
踊	⠠⠜⠊	⣧⡺
陽	⠨⠜⠍	⢣⢨
養	⠨⠜⠔	⢵⡘
抑	⠲⠜⠊	⡷⢪
欲	⠲⠜⠮	⡣⣨
沃		⡇⠤⢞
浴	⠲⠜⠁	⢱⡪
翌	⠲⠜⠥	⣳⣪
翼	⠲⠜⠝	⣳⢜
羅	⠢⠑⠜	⢳⠎
裸	⠢⠑⠥	⡗⢎
来	⠨⠑⠣	⢇⡊
頼	⠨⠑⠕	⠕⢨
雷	⠨⠑⠡	⡧⡪
絡	⠲⠑⠃	⠇⠾
落	⠲⠑⠊	⢓⠾
酪	⠲⠑⠎	⢷⢺
乱	⠸⠑⠷	⢷⡨
卵	⠸⠑⠕	⠅⢪
嵐	⠸⠑⠌	⡑⣺
欄	⠸⠑⠣	⣵⣎
濫	⠸⠑⠱	⢱⢌
藍		⢥⢌
覧	⠸⠑⠇	⣷⢺
利	⠠⠑⠎	⡕⡚
吏	⠠⠑⠚	⠷⢘
履	⠠⠑⠏	⡵⢺
梨		⢥⡕⡚
理	⠠⠑⠊	⣗⠮
璃		⣗⠐⠎
痢	⠠⠑⠔	⡑⡚
裏	⠠⠑⠉	⠧⡞
里	⠠⠑⠱	⠱⠮
離	⠠⠑⠥	⠑⠎
陸	⠲⠓⠍	⢣⠊
律	⠢⠓⠎	⣑⣚
率	⠢⠓⠄	⣁⠼
立	⠢⠓⠕	⣣⠊
略	⠠⠓⠕	⡣⠾
流	⠠⠙⠅	⡇⢚
留	⠠⠙⠎	⠣⡪
硫	⠠⠙⠃	⣣⢚
粒	⠠⠙⠝	⡕⣪
隆	⠠⠙⠍	⢣⢾
竜	⠠⠙⠕	⣣⢬
侶		⢑⣮
慮	⠠⠚⠪	⢳⢬
旅	⠠⠚⠕	⣕⣘
虜	⠠⠚⠎	⢳⡚
了	⠨⠓⠅	⠑⣪
僚	⠨⠓⠇	⡃⠼
両	⠨⠓⠁	⡧⠘
寮	⠨⠓⠉	⠓⠼
料	⠨⠓⠃	⡵⡜
涼	⠨⠓⠹	⢱⠾
猟	⠨⠓⠫	⢗⠼
療	⠨⠓⠔	⡑⠼
瞭		⣷⠼
糧	⠨⠓⠡	⡕⢊
良	⠨⠓⠜	⠱⡘
量	⠨⠓⠥	⣳⠮
陵	⠨⠓⠍	⢣⢺
領	⠨⠓⠑	⢑⠜
力	⠠⠛⠗	⡓
緑	⠠⠛⠷	⢧⣮
倫	⠸⠓⠇	⡃⠺
厘	⠸⠓⠏	⡱⠮
林	⠸⠓⠥	⢇⢎
臨	⠸⠓⠎	⢳⠚
輪	⠸⠓⠄	⣳⠺
隣	⠸⠓⠎	⢣⡜
瑠		⣗⠣⡪
塁	⠨⠙⠗	⡣⡺
涙	⠨⠙⠅	⡇⢞
累	⠨⠙⠃	⡣⡌
類	⠨⠙⠑	⠕⡜
令	⠨⠛⠇	⢑⠼
例	⠸⠛⠕	⡃⡚
冷	⠨⠛⠧	⢱⠊
励	⠨⠛⠥	⡓⣪
礼	⠨⠛⠳	⡗⡼
鈴	⠨⠛⠹	⢃⣌
隷	⠨⠛⠄	⡗⣘
零	⠨⠛⠁	⡧⣨
霊	⠨⠛⠵	⡧⢘
麗	⠨⠛⠉	⣥⠸
齢	⠨⠛⠜	⣡⠼
暦	⠲⠛⠪	⢕⣌
歴	⠲⠛⠄	⢕⣨
列	⠢⠛⠓	⣕⡚
劣	⠢⠛⠊	⢵⡚
烈	⠢⠛⠄	⣕⣸
裂	⠢⠛⠱	⣕⡞
廉	⠸⠛⠵	⡱⢞
恋	⠸⠛⠪	⠗⢬
練	⠸⠛⠏	⠇⣎
連	⠸⠛⠝	⣇⣺
錬	⠸⠛⠡	⢃⣎
呂		⢁⣮
炉	⠢⠚⠧	⡵⣸
賂		⡡⢲⠾
路	⠢⠚⠄	⣧⠾
露	⠢⠚⠝	⡧⣮
労	⠨⠚⠗	⣁⡚
廊	⠨⠚⠏	⡱⡘
弄		⣗⡼
朗	⠨⠚⠮	⠣⡘
楼	⠨⠚⠣	⢇⡪
浪	⠨⠚⠱	⡇⡘
漏	⠨⠚⠾	⢱⡮
老	⠨⠚⠊	⡵⠌
郎	⠨⠚⠍	⡑⢪
六	⠐⠼⠋	⢡⠞
麓		⢇⢵⠸
録	⠲⠚⠡	⢃⣮
論	⠸⠚⠅	⠗⠺
和	⠢⠄⠎	⡕⠾
話	⠢⠄⠥	⠗⢾
賄	⠨⠄⠛	⡡⠪
脇		⢅⡞
惑	⠲⠄⠵	⣥⢬
枠	⠢⠺⠄	⢇⠤⠼
湾	⠸⠄⠱	⡇⣘
腕	⠸⠄⠉	⢅⠚
丼		⠇⠌
傲		⡃⠤⣜
刹		⣷⡞
哺		⠷⣜
喩		⠷⣘
嗅		⠷⣾
嘲		⣥⢌
毀	⠖⠛⠣⠵	⡓⡜
彙	⠖⠓⠃⠜	⠓⠎
恣		⠳⢱⣨
惧		⠳⡡⠨
慄		⠳⡎
憬		⠳⣳⠾
拉		⡷⣣⠊
摯		⡷⡳⠜
曖	⠖⠓⠁⠧	⣳⣁⠊
楷	⠖⠗⠡⠾	⢇⠰⣌
鬱	⠖⠑⠉⠿	⢳⢲⢮
璧		⣣⣞
瘍		⡑⢨
箋		⡧⠐⣬
籠		⡧⣣⢬
緻		⠇⢱⣘
羞		⢵⠤⢼
訃		⠗⡼
諧	⠖⠗⠡⠪	⠗⠰⣌
貪		⡡⠮
踪		⣧⠒⡞
辣		⣣⢨
錮		⢃⣤⠼
